claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported,claim_day,claim_month,claim_year
414724,0.357142857,1,1,0.568,0.429934346,1,0,0,50048,3,0,0,0,0.25,2,0,0.761904762,1,0.443389411,5,0.484082735,0.484980766,0.4,0.64444343,0.442500926,5,0,12,8,2023
269568,0.25,1,1,0.552,0,0,1,0,50006,1,1,0,0,0.45,2,0,0.19047619,2,0.425267077,0,0.485575893,0.742631142,1,0.651774151,0.592340372,5,1,18,10,2024
974592,0.214285714,1,1,0.616,1,1,1,0,15021,3,1,0,0,1,2,0,0.666666667,2,0.35093252,2,0.25554811,0.281299148,0.4,0.472200545,0.401122072,3,0,23,12,2023
995328,0.607142857,0,1,0.888,0.908032417,0,1,0,85027,4,2,0,0,1,2,0,0.095238095,2,0.614929022,4,0.368868299,0.529315621,0,0.06473533,0.507580272,4,0,25,2,2024
1140480,0.392857143,1,1,0.792,0.455272876,1,0,0,80046,7,1,0,0,0.25,2,0,0.571428571,2,0.527853256,4,0.642305349,0.379335724,0.4,0.462669777,0.619709643,2,0,4,9,2024
1244160,0.410714286,0,0,0.488,0,1,0,0,80042,4,1,0,0,0.84,2,1,0.380952381,2,0.209231817,6,0.07955791,0.262470753,1,0.283527878,0.530263713,2,1,26,5,2024
1700352,0.553571429,1,1,0.824,0.558114485,1,1,1,20151,5,2,0,0,0.1,2,0,0.571428571,1,1,5,0.091542495,0.533112503,1,0.393380766,0.436610192,3,0,23,5,2024
1804032,0.410714286,0,1,0.488,1,1,0,0,80015,5,2,0.4,0,0.77,2,1,0.19047619,1,0.310569858,0,0.51706226,0.86034638,0.4,0.379964633,0.613890839,2,0,31,8,2023
2135808,0.196428571,0,1,0.664,0,1,1,0,50041,1,2,0,0,0.61,2,0,0.666666667,2,0.51824385,5,0.259767029,0.370854624,0.4,0.297035334,0.267238429,3,1,27,9,2024
2198016,0.535714286,0,0,0.312,0.546471071,1,0,0,80015,2,1,0,0,0.18,2,1,0.952380952,1,0.42139423,1,0.627748968,0.397984973,1,0.435762793,0.53562138,5,0,24,7,2023
2322432,0.910714286,1,1,0.328,0.730252359,1,0,0,20158,7,1,0,0,0.5,2,0,0.476190476,0,0.540777468,0,0.333913715,0.225658479,0,0.68156195,0.312415118,4,0,6,11,2024
2343168,0.160714286,0,1,0.184,0.259848174,1,1,1,15057,3,2,0.4,0,0.5,2,1,0.476190476,0,0.433670186,5,0.593595949,0.322602897,0,0.919034138,0.664432768,8,1,24,6,2023
